Year,Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),Tariffs on Imports (US$ Thousand),Trade Deficit (US$ Thousand)
1993,Wood,276983.61,551840.76,3.16,1.64,1.49,0.32,3.39,2.82,5.49,268.0,62.69,30.6,0.75,5.97,18.0,0.0,56835.26,521167.06,30673.72,2.82,5.49,268.0,62.69,30.6,0.75,5.97,18.0,0.0,56835.26,521167.06,30673.72,326719.629914,274857.15
1994,All Products,9286686.72,41345781.76,100.0,100.0,1.0,5.46,14.02,,,,,,,,,,,,,,,,,,,,,,,,,,32059095.04
1994,Animal,91877.3,367718.92,0.99,0.89,1.44,22.28,16.24,,,,,,,,,,,,,,,,,,,,,,,,,,275841.62
1994,Capital goods,5031277.86,5882071.25,54.18,14.23,1.32,9.2,16.53,,,,,,,,,,,,,,,,,,,,,,,,,,850793.3899999997
1994,Chemicals,1353164.6,807710.08,14.57,1.95,1.73,11.43,24.03,,,,,,,,,,,,,,,,,,,,,,,,,,-545454.5200000001
1994,Consumer goods,550243.53,31586949.56,5.93,76.4,0.74,-8.62,-13.03,,,,,,,,,,,,,,,,,,,,,,,,,,31036706.029999997
1994,Food Products,23420.34,182472.77,0.25,0.44,0.44,11.07,-25.64,,,,,,,,,,,,,,,,,,,,,,,,,,159052.43
1994,Footwear,8766.35,6504268.78,0.09,15.73,0.17,-5.9,19.43,,,,,,,,,,,,,,,,,,,,,,,,,,6495502.430000001
1994,Fuels,61685.57,408465.28,0.66,0.99,0.34,-16.71,-31.65,,,,,,,,,,,,,,,,,,,,,,,,,,346779.71
1994,Hides and Skins,64121.22,2686104.35,0.69,6.5,0.69,10.54,21.24,,,,,,,,,,,,,,,,,,,,,,,,,,2621983.13
